Report Date,Year,Month,ISO3,Country or Area Name,Country Type,Daily Arrivals Land,Daily Arrivals Sea,Daily Arrivals Total,Cumulative Land,Cumulative Sea,Cumulative Total
31/1/2024,2024,1,ALB,Albania,Other,56,0,56,56,0,56
29/2/2024,2024,2,ALB,Albania,Other,59,0,59,115,0,115
31/3/2024,2024,3,ALB,Albania,Other,142,0,142,257,0,257
30/4/2024,2024,4,ALB,Albania,Other,169,0,169,426,0,426
31/5/2024,2024,5,ALB,Albania,Other,158,0,158,584,0,584
30/6/2024,2024,6,ALB,Albania,Other,119,0,119,703,0,703
31/1/2024,2024,1,BGR,Bulgaria,First Arrival,396,0,396,396,0,396
29/2/2024,2024,2,BGR,Bulgaria,First Arrival,329,0,329,725,0,725
31/3/2024,2024,3,BGR,Bulgaria,First Arrival,317,0,317,"1,042",0,"1,042"
30/4/2024,2024,4,BGR,Bulgaria,First Arrival,529,0,529,"1,571",0,"1,571"
31/5/2024,2024,5,BGR,Bulgaria,First Arrival,686,0,686,"2,257",0,"2,257"
30/6/2024,2024,6,BGR,Bulgaria,First Arrival,943,0,943,"3,200",0,"3,200"
7/1/2024,2024,1,BIH,Bosnia and Herzegovina,Other,271,0,271,271,0,271
14/1/2024,2024,1,BIH,Bosnia and Herzegovina,Other,649,0,649,920,0,920
21/1/2024,2024,1,BIH,Bosnia and Herzegovina,Other,833,0,833,"1,753",0,"1,753"
28/1/2024,2024,1,BIH,Bosnia and Herzegovina,Other,754,0,754,"2,507",0,"2,507"
4/2/2024,2024,2,BIH,Bosnia and Herzegovina,Other,446,0,446,"2,953",0,"2,953"
11/2/2024,2024,2,BIH,Bosnia and Herzegovina,Other,307,0,307,"3,260",0,"3,260"
18/2/2024,2024,2,BIH,Bosnia and Herzegovina,Other,290,0,290,"3,550",0,"3,550"
25/2/2024,2024,2,BIH,Bosnia and Herzegovina,Other,570,0,570,"4,120",0,"4,120"
3/3/2024,2024,3,BIH,Bosnia and Herzegovina,Other,431,0,431,"4,551",0,"4,551"
10/3/2024,2024,3,BIH,Bosnia and Herzegovina,Other,465,0,465,"5,016",0,"5,016"
17/3/2024,2024,3,BIH,Bosnia and Herzegovina,Other,542,0,542,"5,558",0,"5,558"
24/3/2024,2024,3,BIH,Bosnia and Herzegovina,Other,534,0,534,"6,092",0,"6,092"
31/3/2024,2024,3,BIH,Bosnia and Herzegovina,Other,452,0,452,"6,544",0,"6,544"
7/4/2024,2024,4,BIH,Bosnia and Herzegovina,Other,396,0,396,"6,940",0,"6,940"
14/4/2024,2024,4,BIH,Bosnia and Herzegovina,Other,459,0,459,"7,399",0,"7,399"
21/4/2024,2024,4,BIH,Bosnia and Herzegovina,Other,480,0,480,"7,879",0,"7,879"
28/4/2024,2024,4,BIH,Bosnia and Herzegovina,Other,495,0,495,"8,374",0,"8,374"
5/5/2024,2024,5,BIH,Bosnia and Herzegovina,Other,202,0,202,"8,576",0,"8,576"
12/5/2024,2024,5,BIH,Bosnia and Herzegovina,Other,528,0,528,"9,104",0,"9,104"
19/5/2024,2024,5,BIH,Bosnia and Herzegovina,Other,528,0,528,"9,632",0,"9,632"
26/5/2024,2024,5,BIH,Bosnia and Herzegovina,Other,508,0,508,"10,140",0,"10,140"
2/6/2024,2024,6,BIH,Bosnia and Herzegovina,Other,389,0,389,"10,529",0,"10,529"
9/6/2024,2024,6,BIH,Bosnia and Herzegovina,Other,348,0,348,"10,877",0,"10,877"
16/6/2024,2024,6,BIH,Bosnia and Herzegovina,Other,538,0,538,"11,415",0,"11,415"
23/6/2024,2024,6,BIH,Bosnia and Herzegovina,Other,429,0,429,"11,844",0,"11,844"
30/6/2024,2024,6,BIH,Bosnia and Herzegovina,Other,490,0,490,"12,334",0,"12,334"
31/1/2024,2024,1,CYP,Cyprus,First Arrival,0,975,975,0,975,975
29/2/2024,2024,2,CYP,Cyprus,First Arrival,0,800,800,0,"1,775","1,775"
31/3/2024,2024,3,CYP,Cyprus,First Arrival,0,"1,140","1,140",0,"2,915","2,915"
30/4/2024,2024,4,CYP,Cyprus,First Arrival,0,"1,525","1,525",0,"4,440","4,440"
31/5/2024,2024,5,CYP,Cyprus,First Arrival,0,280,280,0,"4,720","4,720"
30/6/2024,2024,6,CYP,Cyprus,First Arrival,0,170,170,0,"4,890","4,890"
1/1/2024,2024,1,ESP,Spain,First Arrival,0,211,211,0,211,211
2/1/2024,2024,1,ESP,Spain,First Arrival,0,259,259,0,470,470
3/1/2024,2024,1,ESP,Spain,First Arrival,0,269,269,0,739,739
4/1/2024,2024,1,ESP,Spain,First Arrival,0,373,373,0,"1,112","1,112"
5/1/2024,2024,1,ESP,Spain,First Arrival,0,53,53,0,"1,165","1,165"
6/1/2024,2024,1,ESP,Spain,First Arrival,0,268,268,0,"1,433","1,433"
7/1/2024,2024,1,ESP,Spain,First Arrival,0,170,170,0,"1,603","1,603"
8/1/2024,2024,1,ESP,Spain,First Arrival,0,216,216,0,"1,819","1,819"
10/1/2024,2024,1,ESP,Spain,First Arrival,0,323,323,0,"2,142","2,142"
11/1/2024,2024,1,ESP,Spain,First Arrival,0,184,184,0,"2,326","2,326"
12/1/2024,2024,1,ESP,Spain,First Arrival,0,346,346,0,"2,672","2,672"
